,bedrooms,bathrooms,building area,surface area,price
0,2,1,50,104,595000000
1,3,1,80,122,538000000
2,3,1,61,100,470000000
3,2,1,50,103,590000000
4,3,1,70,106,600000000
5,3,2,78,103,755000000
6,3,2,125,103,850000000
7,2,1,55,94,650000000
8,2,1,42,70,551000000
9,2,1,52,138,410000000
10,2,2,170,100,970000000
11,2,1,40,98,435000000
12,3,2,138,140,1570000000
13,2,1,45,120,675000000
14,2,1,40,98,435000000
15,3,2,140,150,1750000000
16,4,1,250,283,1500000000
17,2,1,90,124,430000000
18,2,1,52,98,500000000
19,3,1,130,100,700000000
20,3,2,233,100,1500000000
21,3,2,78,103,755000000
22,2,1,40,98,435000000
23,2,1,45,120,675000000
24,2,1,40,98,435000000
25,3,2,80,123,595000000
26,2,1,45,120,675000000
27,2,1,40,98,435000000
28,3,2,78,103,755000000
29,3,1,61,100,470000000
30,3,1,80,122,539000000
31,2,1,50,100,400000000
32,3,2,125,103,850000000
33,3,1,80,122,539000000
34,6,3,440,241,3000000000
35,3,2,130,100,700000000
36,5,4,400,198,2000000000
37,4,3,300,256,2500000000
38,3,2,130,100,700000000
39,6,2,500,301,2100000000
40,4,3,152,169,1500000000
41,5,3,250,155,1150000000
42,2,1,45,95,575000000
43,4,3,256,300,2500000000
44,2,1,48,105,580000000
45,2,1,50,104,595000000
46,2,1,50,100,430000000
47,3,2,125,103,850000000
48,2,1,50,107,610000000
49,2,1,50,103,590000000
